sana,hafta_kuni,max_harorat,min_harorat,yogin,shamol,holat
13.03.2026,Friday,9,-1,0.0,5.2,salqin
14.03.2026,Saturday,12,0,0.0,4.2,bulutli
15.03.2026,Sunday,13,1,0.0,8.9,bulutli
16.03.2026,Monday,12,6,0.4,4.1,bulutli
17.03.2026,Tuesday,15,2,0.0,8.4,bulutli
18.03.2026,Wednesday,13,3,0.0,4.8,bulutli
19.03.2026,Thursday,15,7,0.0,8.6,bulutli
20.03.2026,Friday,14,8,0.3,7.3,bulutli
21.03.2026,Saturday,19,11,0.0,8.1,bulutli
22.03.2026,Sunday,22,13,0.0,7.4,ochiq
